SHBZ|ShowBiz|
SHEI|Sheiks Of Dixie|
SHOT|Shots|
SHOW|Show Biz Productions|
SHUH|Shu Junli-Horn|
SINM|Sin Miedo|
SIRO|Silk Road Dance Company|
SKAK|The Alexandria Kleztet|
SLAR|Party Har Har|
SNAP|Snaps|
SOWB|Southern Winds Band|
SPEE|Speed & Thro Illusionists|
SPIL|Spiral|
SPIN|Spinny|
SPJM|Sons of Pirates|
SPRB|SOA Robotics| LLC trading as Sprockit|
SPRH|Robotics Technicians|
SRET|Stage Right Entertainment|
SSGA|George Alderson|
SSTR|Stereo Strings|
STAN|Stanley the Magician|
STIC|Karen Carbone Entertainment|
STLI|Steve Little|
STOR|Steve Ornstein|
STPO|Steve Ports|
STTG|Shrewsbury Strings|
SULT|Sultans Of Swing|
SUSL|The Latest Craze|
SWCP|Susan Wall's - Carousel Puppets|
SWSS|Swing Speak|
TALK|Talk Of The Town|
THDI|Billie Jo & The Distractions|
THRE|Three of a Kind|
TIKP|Tim Kirkpatrick|
TIMH|Tim Hall Productions|
TMRB|Regal Beagles|
TMRN|Tim Marrone|
TMUS|Mustangs|
TNWR|Tony Ware|
TOCC|Tom Crowl|
TODD|Todd Simon|
TOKA|Tom Kaufman Productions|
TOLI|Tom Lily|
TONF|Ton Of Fun|
TOSC|Tony Sciuto|
TPAR|Parrot Man|
TPLY|The Players|
TRCA|Trio Caliente|
TREV|TreVoche|
TRHE|DJ Troy Hernandez|
TTRI|1964 The Tribute|
TUXE|Tuxedo Junction|
TWIZ|The Wizz|
UJVQ|Uptown Vocal Jazz Quartet|
URGO|Urban Guerilla Orchestra|
VHLM|Vegas Heat|
VODO|Voodoo Economics|
WAGR|Washington Graphics|
WAPA|Washington Photo - Aura Camera|
WAPB|Photo Booth XL|
WAPC|Washington Photo - Chris Burch|3
WAPD|Washington Photo - David Hartzman|3
WAPF|Washington Photo - Fernando Ramirez|3
WAPG|Washington Photo - Bill Millios|3
WAPH|Washington Photo|3
WAPI|Washington Photo - Riza Peralta|3
WAPJ|Washington Photo - Jack Hartzman|3
WAPK|Washington Photo - Kyle Martell|3
WAPL|Washington Photo - Alison Tremblay|3
WAPM|Washington Photo - Monica Vidal|3
WAPN|Washington Photo Novelties|3
WAPO|PopNoggins|3
WAPP|Washington Photo - Michael Paolantonio|3
WAPR|Washington Photo - Ryan Stevenson|3
WAPS|Signs in a Flash!|3
WAPT|Signs in a Flash! II|3
WAPW|Washington Photo - Dan Levine|3
WAPX|Washington Photo - Peter Stepanek|3
WAPY|Washington Photo - Yakov Gindin|3
WAPZ|Washington Photo - Sasha Feinman|3
WBTP|Washington Brass|
WCAP|Washington Capitals Mascot - Slapshot|
WHIP|Whipflash|
WHPR|Whisper Productions|
WLIG|Washington Lighting|
WLPL|IMAG Experience- Plasmas|
WLPS|IMAG Experience- Projection Screens|
WMHI|High Impact|
WONG|Wong Chinese Lion Dancers|
WSEE|Eye 2 Eye|
WSST|Washington Strings|
WTMR|WTA Roadies|16
ZEME|Zemer Orchestra|
